MAPNAME,DESCR,MAINROCK,SIMPLENAME,KEYGRPNAME,TEXTCODE,FlowchartGroup
Undifferentiated Rakaia Terrane Permian to Triassic TZIV schist,Prominently quartz albite segregated psammitic and pelitic greyschist  rare greenschist/amphibolite and metachert  TZIV.,schist,Basement (Eastern Province) metamorphic rocks,Rakaia Terrane,Yt,Group 15
Undifferentiated Rakaia Terrane Permian to Triassic TZIV schist,Prominently quartz albite segregated psammitic and pelitic greyschist  rare greenschist/amphibolite and metachert  TZIV.,schist,Basement (Eastern Province) metamorphic rocks,Rakaia Terrane,Yt,Group 15
OIS1 (Holocene) scree deposits,Variable gravelly scree or colluvium deposits on >20 deg slopes  may merge with alluvial fans  may include minor glacial tills.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
OIS1 (Holocene) scree deposits,Variable gravelly scree or colluvium deposits on >20 deg slopes  may merge with alluvial fans  may include minor glacial tills.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) dune deposits,Dunes of unweathered wind deposited beach sand  some pebbles and silt.,sand,Holocene windblown deposits,Holocene sediments,Q1d,Group 09
OIS6 OIS4 (Middle Pleistocene to Late Pleistocene) river deposits of Woodlands Formation,Slightly weathered  variable mixtures of gravel/sand/silt/clay forming isolated slightly elevated terraces.,gravel,Middle Pleistocene   Late Pleistocene river deposits,Middle Pleistocene   Late Pleistocene sediments,Q4a,Group 6
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS2 (Late Pleistocene) glacier deposits of St Bernard Formation,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
OIS1 (Holocene) river deposits,Modern river floodplain/low level degradation terrace. Unweathered  variably sorted gravel/sand/silt/clay. Surfaces <2 degree slope.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
OIS1 (Holocene) scree deposits,Variable gravelly scree or colluvium deposits on >20 deg slopes  may merge with alluvial fans  may include minor glacial tills.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
OIS2 (Late Pleistocene) glacier deposits of Burnham Formation,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
OIS1 (Holocene) fan deposits of Springston and Nine Mile formations,Generally unweathered  variable mixtures of gravel  sand and silt forming alluvial fans (surface slope 1 to 20 deg).,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
OIS2 (Late Pleistocene) glacier deposits,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley or cirque moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
OIS6 (Middle Pleistocene) glacier deposits of Woodlands Formation,Slightly to moderately weathered mixtures of gravel/sand/silt/clay forming scattered moraine remnants.,gravel,Middle Pleistocene glacier deposits,Middle Pleistocene sediments,Q6t,Group 14
OIS2 (Late Pleistocene) outwash deposits of Burnham Formation,Generally unweathered  variable mixtures of gravel/sand/silt/clay forming extensive terraces or plains.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 16
Middle Pleistocene loess deposits,Yellow brown windblown silt deposits  locally with fine sand or clay  >3m thick and commonly in multiple layers  thicker downslope.,loess,Middle Pleistocene windblown deposits,Middle Pleistocene sediments,mQe,Group 11
Diamond Harbour Volcanics basaltic lava  breccia and sediments,Basaltic (basanite  basalt  hawaiite) lava flows  dikes  vent plugs  sills  minor interbeds of breccia  conglomerate  sandstone and carbonaceous mudstone.,basalt,Neogene igneous rocks,Diamond Harbour Volcanic Group,Mvd,Group 17
Diamond Harbour Volcanics basaltic lava  breccia and sediments,Basaltic (basanite  basalt  hawaiite) lava flows  dikes  vent plugs  sills  minor interbeds of breccia  conglomerate  sandstone and carbonaceous mudstone.,basalt,Neogene igneous rocks,Diamond Harbour Volcanic Group,Mvd,Group 17
Diamond Harbour Volcanics basaltic lava  breccia and sediments,Basaltic (basanite  basalt  hawaiite) lava flows  dikes  vent plugs  sills  minor interbeds of breccia  conglomerate  sandstone and carbonaceous mudstone.,basalt,Neogene igneous rocks,Diamond Harbour Volcanic Group,Mvd,Group 17
OIS1 (Holocene) river deposits of Springston and Nine Mile formations,Generally unweathered  variable mixtures of gravel/sand/silt/clay forming low level terraces or abandoned river plains.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
OIS2 (Late Pleistocene) glacier deposits of Burnham Formation,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
OIS2 (Late Pleistocene) river deposits,Generally unweathered  variable mixtures of gravel/sand/silt/clay forming extensive terraces or plains.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 6
OIS1 (Holocene) river deposits,Modern river floodplain/low level degradation terrace. Unweathered  variably sorted gravel/sand/silt/clay. Surfaces <2 degree slope.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
Diamond Harbour Volcanics basaltic lava  breccia and sediments,Basaltic (basanite  basalt  hawaiite) flows  dikes  vent plugs  sills and a dome  interbeds of breccia  conglomerate  sandstone and carbonaceous mudstone.,basalt,Neogene igneous rocks,Diamond Harbour Volcanic Group,Mvd,Group 17
Undifferentiated Rakaia Terrane Permian to Triassic TZIV mylonitic amphibolite,Mylonitised amphibolite  quartzofeldspathic schist  quartz mica schist  and minor calc schist  some kyanite bearing assemblages.,amphibolite,Basement (Eastern Province) metamorphic rocks,Rakaia Terrane,YTu,Group 15
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) fan deposits,Moderately poorly sorted  silty  subangular gravel and sand of alluvial fans  with large boulders from landslides and rockfalls in steep mountains.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
Diamond Harbour Volcanics basaltic lava  breccia and sediments,Basaltic (basanite  basalt  hawaiite) lava flows  dikes  vent plugs  sills  minor interbeds of breccia  conglomerate  sandstone and carbonaceous mudstone.,basalt,Neogene igneous rocks,Diamond Harbour Volcanic Group,Mvd,Group 17
OIS2 (Late Pleistocene) outwash deposits,Generally unweathered  variable mixtures of gravel/sand/silt/clay forming terraces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 16
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS2 (Late Pleistocene) outwash deposits,Generally unweathered  variable mixtures of gravel/sand/silt/clay forming terraces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 16
Governors Bay Andesite,Flow banded plagioclase pyroxene olivine porphyritic andesitic lava flows.,andesite,Neogene igneous rocks,Governors Bay Andesite,Mvg,Group 18
OIS1 (Holocene) fan deposits,Grey to brown  generally unweathered  silty subangular gravel and sand with minor peat in alluvial fans (slope 1 20deg).,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
OIS1 (Holocene) fan deposits of Springston and Nine Mile formations,Generally unweathered  variable mixtures of gravel  sand and silt forming alluvial fans (surface slope 1 to 20 deg).,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
OIS2 (Late Pleistocene) glacier deposits of Burnham Formation,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
OIS1 (Holocene) glacier deposits of Birch Hill Formation,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined valley or cirque moraines.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) scree deposits,Variable gravelly scree or colluvium deposits on >20 deg slopes  may merge with alluvial fans  may include minor glacial tills.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
Undifferentiated Rakaia Terrane Triassic sandstone and mudstone,Well indurated  greywacke sandstone  argillitic mudstone/siltstone  minor conglomerate/tuffaceous sandstone/volcanics  TZI.,sandstone,Basement (Eastern Province) sedimentary rocks,Rakaia Terrane,Tt,Group 15
OIS2 (Late Pleistocene) glacier deposits,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley or cirque moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
Middle Pleistocene loess deposits,Yellow brown windblown silt deposits  locally with fine sand or clay  >3m thick and commonly in multiple layers  thicker downslope.,loess,Middle Pleistocene windblown deposits,Middle Pleistocene sediments,mQe,Group 11
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) swamp deposits,Variable mixtures of peat/silt/sand associated with swamps.,peat,Holocene swamp deposits,Holocene sediments,Q1a,Group 1
OIS1 (Holocene) glacier deposits of Birch Hill Formation,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined valley or cirque moraines.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) swamp deposits,Peat swamp deposits with interbedded sand  mud  and gravel  adjacent to alluvial floodplain gravels  and in swales between dunes.,peat,Holocene swamp deposits,Holocene sediments,Q1a,Group 1
OIS1 (Holocene) river deposits,Unweathered  variably sorted gravel/sand/silt/clay and minor peat of postglacial floodplains  may be terraced. Surface <2 deg slope.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
OIS1 (Holocene) fan deposits,Moderately poorly sorted  silty  subangular gravel and sand of alluvial fans  with large boulders from landslides and rockfalls in steep mountains.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
Aspiring Lithologic Association TZIV pelitic schist (Rakaia Terrane),Very well segregated and laminated  abundant pelitic and subordinate psammitic greyschist and gneiss  minor amphibolite and metachert  TZIV.,pelite,Basement (Eastern Province) metamorphic rocks,Rakaia Terrane,Ta,Group 18
Undifferentiated Rakaia Terrane Triassic sandstone and mudstone,Well indurated  greywacke sandstone  argillitic mudstone/siltstone  minor conglomerate/tuffaceous sandstone/volcanics  TZI.,sandstone,Basement (Eastern Province) sedimentary rocks,Rakaia Terrane,Tt,Group 15
Lyttelton Volcanics basaltic and trachytic lava  breccia  tuff and domes,Basaltic (hawaiite) to trachytic lava flows interbedded with tuff and breccia (including lahars)  many dikes and minor lava domes.,hawaiite,Neogene igneous rocks,Lyttelton Volcanic Group,Mvl,Group 17
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
Broken River Formation Paleocene to Eocene mudstone (Eyre Group),Carbonaceous and quartzose claystone mudstone and sandstone  local coal seams.,claystone,Paleogene sedimentary rocks,Eyre Group,Peb,Group 15
OIS1 (Holocene) rock avalanche deposits,Chaotic fragmental debris  variable content/texture  unit includes fall out areas and debris <1m thick.,breccia,Holocene hill slope deposits,Holocene sediments,Q1h,Group 10
Balmacaan Formation sandstone and siltstone (Mount Taylor Group),Bedded sandstone/dark siltstone  red siltstone  greywacke conglomerate lenses  rare plant fossils  zeolite/quartz veins  TZI.,sandstone,Basement (Eastern Province) sedimentary rocks,Rakaia Terrane,Ttb,Group 15
Lyttelton Volcanics basaltic and trachytic lava  breccia  tuff and domes,Basaltic (hawaiite) to trachytic lava flows interbedded with tuff and breccia (including lahars)  many dikes and minor lava domes.,hawaiite,Neogene igneous rocks,Lyttelton Volcanic Group,Mvl,Group 17
Undifferentiated Rakaia Terrane Triassic thin bedded siltstone,Thin bedded siltstone with minor sandstone channels  parallel and ripple lamination  commonly disrupted/folded  TZI.,siltstone,Basement (Eastern Province) sedimentary rocks,Rakaia Terrane,Tts,Group 15
Mount Herbert Volcanics basaltic lava  breccia and sediments,Basaltic lava flows and plugs  minor interbedded volcaniclastic breccia  conglomerate  sandstone  siltstone  carbonaceous mudstone  and tuff.,hawaiite,Neogene igneous rocks,Mount Herbert Volcanic Group,Mvh,Group 17
Mount Somers Volcanics rhyolitic tuff,Semi welded rhyolitic tuff  coarse ash flow tuff  silicified flinty tuff  locally carbonaceous sediments  conspicuous garnet.,tuff,Late Cretaceous igneous rocks,Mount Somers Volcanics Group,Kmt,Group 17
Undifferentiated Rakaia Terrane Permian to Triassic sandstone and mudstone,Well indurated  greywacke sandstone  argillitic mudstone/siltstone  minor conglomerate/tuffaceous sandstone/volcanics  TZI.,sandstone,Basement (Eastern Province) sedimentary rocks,Rakaia Terrane,YTt,Group 15
OIS2 (Late Pleistocene) glacier deposits of Windwhistle Formation,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
Allandale Rhyolite,Flow banded porphyritic rhyolite and dacite lava flows and domes  local rhyolite breccias around dome bases  rare tuffs and obsidian.,rhyolite,Neogene igneous rocks,Allandale Rhyolite,Mva,Group 18
Undifferentiated Rakaia Terrane Triassic sandstone and mudstone,Well indurated  greywacke sandstone  argillitic mudstone/siltstone  minor conglomerate/tuffaceous sandstone/volcanics  TZI.,sandstone,Basement (Eastern Province) sedimentary rocks,Rakaia Terrane,Tt,Group 15
OIS1 (Holocene) fan deposits of Springston and Nine Mile formations,Generally unweathered  variable mixtures of gravel  sand and silt forming alluvial fans (surface slope 1 to 20 deg).,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
OIS2 (Late Pleistocene) glacier deposits of St Bernard Formation,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
OIS1 (Holocene) fan deposits of Springston and Nine Mile formations,Generally unweathered  variable mixtures of gravel  sand and silt forming alluvial fans (surface slope 1 to 20 deg).,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
OIS2 (Late Pleistocene) glacier deposits of St Bernard Formation,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
Charteris Bay Sandstone (Eyre Group),Massive  light grey/yellow brown  medium to fine  quartzose (quartz cemented) sandstone  locally glauconitic with thin beds of mudstone.,sandstone,Late Cretaceous   Paleogene sedimentary rocks,Eyre Group,PEe,Group 15
OIS1 (Holocene) scree deposits,Variable gravelly scree or colluvium deposits on >20 deg slopes  may merge with alluvial fans  may include minor glacial tills.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
OIS1 (Holocene) fan deposits of Springston and Nine Mile formations,Generally unweathered  variable mixtures of gravel  sand and silt forming alluvial fans (surface slope 1 to 20 deg).,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
Undifferentiated Eyre Group Paleocene to Oligocene sandstone,Micaceous quartz sandstone/mudstone  pebbly shelly concretionary beds  glauconitic sandstone/mudstone  marl and impure limestone.,sandstone,Paleogene sedimentary rocks,Eyre Group,Ee,Group 15
OIS1 (Holocene) swamp deposits,Variable mixtures of peat/silt/sand associated with swamps.,peat,Holocene swamp deposits,Holocene sediments,Q1a,Group 1
OIS1 (Holocene) scree deposits,Variable gravelly scree or colluvium deposits on >20 deg slopes  may merge with alluvial fans  may include minor glacial tills.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
OIS3 OIS2 (Late Pleistocene) river deposits,Generally unweathered  variable mixtures of gravel/sand/silt/clay forming terraces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 6
OIS2 (Late Pleistocene) glacier deposits of Windwhistle Formation,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
OIS1 (Holocene) swamp deposits,Peat  silt and sand  in swales between dunes and abandoned river channels.,peat,Holocene swamp deposits,Holocene sediments,Q1a,Group 1
Allandale Rhyolite,Flow banded porphyritic rhyolite and dacite lava flows and domes  local rhyolite breccias around dome bases  rare tuffs and obsidian.,rhyolite,Neogene igneous rocks,Allandale Rhyolite,Mva,Group 18
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined valley or cirque moraines.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS4 OIS1 (Late Pleistocene to Holocene) fan deposits,Generally unweathered  variable mixtures of gravel  sand and silt forming slightly dissected alluvial fans.,gravel,Late Pleistocene   Holocene river deposits,Late Pleistocene   Holocene sediments,Q2a,Group 10
OIS1 (Holocene) fan deposits,Grey to brown  generally unweathered  silty subangular gravel and sand with minor peat in alluvial fans (slope 1 20deg).,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
OIS2 (Late Pleistocene) glacier deposits of Burnham Formation,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
OIS2 (Late Pleistocene) glacier deposits,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley or cirque moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
Diamond Harbour Volcanics basaltic lava  breccia and sediments,Basaltic (basanite  basalt  hawaiite) lava flows  dikes  vent plugs  sills  minor interbeds of breccia  conglomerate  sandstone and carbonaceous mudstone.,basalt,Neogene igneous rocks,Diamond Harbour Volcanic Group,Mvd,Group 17
Middle Pleistocene glacier deposits,Slightly to highly weathered bouldery till  variable mixtures of gravel/sand/silt/clay in dissected moraine remnants.,gravel,Middle Pleistocene glacier deposits,Middle Pleistocene sediments,mQt,Group 14
Allandale Rhyolite,Flow banded porphyritic rhyolite and dacite lava flows and domes  local rhyolite breccias around dome bases  rare tuffs and obsidian.,rhyolite,Neogene igneous rocks,Allandale Rhyolite,Mva,Group 18
OIS2 (Late Pleistocene) glacier deposits,Generally unweathered bouldery till  poorly sorted mixtures of gravel/sand/silt/clay  well preserved moraine ridges.,till,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
OIS1 (Holocene) fan deposits,Moderately poorly sorted  silty  subangular gravel and sand of alluvial fans  with large boulders from landslides and rockfalls in steep mountains.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) fan deposits of Springston and Nine Mile formations,Generally unweathered  variable mixtures of gravel  sand and silt forming alluvial fans (surface slope 1 to 20 deg).,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
OIS1 (Holocene) scree deposits,Variable gravelly scree or colluvium deposits on >20 deg slopes  may merge with alluvial fans  may include minor glacial tills.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) river deposits of Springston and Nine Mile formations,Generally unweathered  variable mixtures of gravel/sand/silt/clay forming low level terraces or abandoned river plains.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
OIS2 (Late Pleistocene) glacier deposits,Generally unweathered bouldery till  poorly sorted mixtures of gravel/sand/silt/clay  well preserved moraine ridges.,till,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
OIS4 (Late Pleistocene) glacier deposits of Woodlands and Windwhistle formations,Slightly weathered bouldery till  mixtures of gravel/sand/silt/clay  in subdued valley moraine remnants.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q4t,Group 14
OIS2 OIS1 (Late Pleistocene to Holocene) river deposits,Generally unweathered  variable mixtures of gravel/sand/silt/clay forming low level terraces or abandoned river plains.,gravel,Late Pleistocene   Holocene river deposits,Late Pleistocene   Holocene sediments,Q1a,Group 6
OIS1 (Holocene) swamp deposits,Variable mixtures of peat/silt/sand associated with swamps.,peat,Holocene swamp deposits,Holocene sediments,Q1a,Group 1
Undifferentiated Rakaia Terrane Permian to Triassic TZIIA semischist,Slightly foliated  weakly cleaved greywacke sandstone and argillitic mudstone  low grade metatuff and metachert  TZIIA.,sandstone,Basement (Eastern Province) metamorphic rocks,Rakaia Terrane,YTt,Group 15
OIS1 (Holocene) fan deposits,Grey to brown  generally unweathered  silty subangular gravel and sand with minor peat in alluvial fans (slope 1 20deg).,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
OIS1 (Holocene) river deposits of Springston and Nine Mile formations,Generally unweathered  variable mixtures of gravel/sand/silt/clay forming low level terraces or abandoned river plains.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
OIS6 (Middle Pleistocene) glacier deposits of Woodlands Formation,Slightly to moderately weathered mixtures of gravel/sand/silt/clay forming scattered moraine remnants.,gravel,Middle Pleistocene glacier deposits,Middle Pleistocene sediments,Q6t,Group 14
OIS4 (Late Pleistocene) glacier deposits of Woodlands and Windwhistle formations,Slightly weathered bouldery till  mixtures of gravel/sand/silt/clay  in subdued valley moraine remnants.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q4t,Group 14
OIS2 (Late Pleistocene) dune deposits,Dunes of slightly weathered wind deposited river sand.,sand,Late Pleistocene windblown deposits,Late Pleistocene sediments,Q2d,Group 09
Undifferentiated Pleistocene to Holocene landslide deposits,Debris of variable content  may include large rock/soil blocks/fragmental debris/plastic silt clay  associated with landslides.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,Group 15
OIS1 (Holocene) scree deposits,Variable gravelly scree or colluvium deposits on >20 deg slopes  may merge with alluvial fans  may include minor glacial tills.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS2 (Late Pleistocene) glacier deposits of St Bernard Formation,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
OIS2 (Late Pleistocene) glacier deposits of St Bernard Formation,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
OIS3 OIS2 (Late Pleistocene) fan deposits,Generally unweathered  variable mixtures of gravel  sand and silt forming alluvial fans (surface slope 1 to 20 deg).,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 10
Undifferentiated Rakaia Terrane Permian to Triassic massive sandstone,Hard  massive greywacke sandstone with concretions+conglomerate+mudstone clasts  minor thin bedded sandstone/siltstone  TZI.,sandstone,Basement (Eastern Province) sedimentary rocks,Rakaia Terrane,YTt,Group 15
OIS2 OIS1 (Late Pleistocene to Holocene) fan deposits,Generally unweathered  variable mixtures of gravel  sand and silt forming slightly dissected alluvial fans  fan deltas beside lakes.,gravel,Late Pleistocene   Holocene river deposits,Late Pleistocene   Holocene sediments,Q1a,Group 10
OIS2 (Late Pleistocene) glacier deposits,Generally unweathered bouldery till  poorly sorted mixtures of gravel/sand/silt/clay  well preserved moraine ridges.,till,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
OIS1 (Holocene) scree deposits,Variable gravelly scree or colluvium deposits on >20 deg slopes  may merge with alluvial fans  may include minor glacial tills.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
Broken River Formation Late Cretaceous to Eocene mudstone (Eyre Group),Carbonaceous and quartzose claystone mudstone and sandstone  local coal seams.,claystone,Late Cretaceous   Paleogene sedimentary rocks,Eyre Group,lKb,Group 15
OIS1 (Holocene) fan deposits,Moderately poorly sorted  silty  subangular gravel and sand of alluvial fans  with large boulders from landslides and rockfalls in steep mountains.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
Otekaike Limestone and Kokoamu Greensand (Kekenodon Group),Calcareous greensand and cemented bioclastic limestone  locally with interbedded basalt flows or tuff. Sandstone in west.,limestone,Paleogene   Neogene sedimentary rocks,Kekenodon Group,eMk,Group 15
Middle Pleistocene river deposits of Woodlands and Hororata formations,Slightly   moderately weathered mixtures of gravel sand silt and clay forming dissected river terraces/plateaux.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,mQa,Group 6
OIS2 (Late Pleistocene) glacier deposits of St Bernard Formation,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
OIS1 (Holocene) fan deposits,Grey to brown  generally unweathered  silty subangular gravel and sand with minor peat in alluvial fans (slope 1 20deg).,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
OIS1 (Holocene) dune deposits,Dunes of unweathered wind deposited beach sand  some pebbles and silt.,sand,Holocene windblown deposits,Holocene sediments,Q1d,Group 09
Late Pleistocene to Holocene fan deposits,Grey to brown  variable weathered  silty subangular gravel and sand forming alluvial fans(slope 1 20deg)  some gully dissection.,gravel,Late Pleistocene   Holocene river deposits,Late Pleistocene   Holocene sediments,lQa,Group 10
OIS2 (Late Pleistocene) outwash deposits of Windwhistle Formation,Generally unweathered  variable mixtures of gravel/sand/silt/clay forming extensive terraces or plains.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 16
OIS2 (Late Pleistocene) glacier deposits of St Bernard Formation,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
OIS1 (Holocene) active riverbed deposits,Generally unweathered  variable loose gravel/sand/silt in active flood plains.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
OIS2 (Late Pleistocene) outwash deposits,Generally unweathered  variable mixtures of gravel/sand/silt/clay forming terraces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 16
